MSSV,Ho,Ten,Diem
19300000,Ginnie,Ezar,3.8
19300001,Anallese,Edee,2.4
19300002,Fayre,Egbert,8.4
19300003,Pollyanna,Westphal,1.8
19300004,Joceline,Schroth,9.3
19300005,Annaliese,Bevin,9.2
19300006,Donetta,McAdams,5.4
19300007,Jean,Linskey,7.1
19300008,Cherilyn,Simmonds,9.5
19300009,Arlina,McLaughlin,9.7
19300010,Ivett,Havens,7.7
19300011,Raquela,Devlen,6.2
19300012,Aeriela,Drisko,7.8
19300013,Addia,Gower,5.8
19300014,Rochette,Kravits,2.1
19300015,Nessie,Bollay,9.5
19300016,Frank,Mauer,5
19300017,Zondra,Berne,4.5
19300018,Emmey,Atonsah,3.6
19300019,Ermengarde,Freddi,5.2
19300020,Vita,Wilona,2.3
19300021,Melisent,Vary,6.7
19300022,Coral,Alabaster,6.5
19300023,Melanie,Romelda,4.2
19300024,Rayna,Moina,3.4
19300025,Dale,Miru,7.3
19300026,Nananne,Orpah,6.1
19300027,Ethel,Radu,3.3
19300028,Gabi,Konyn,5
19300029,Beth,Kellby,4.5
19300030,Elena,Nerita,3.9
19300031,Elbertina,Leffen,1.3
19300032,Elmira,Drisko,3.7
19300033,Anica,Destinee,8.1
19300034,Hannis,Carlson,7.6
19300035,Cissiee,Lorenz,5.9
19300036,Gilligan,Lorain,7.2
19300037,Binny,Mandler,1.6
19300038,Atlanta,Bettine,7.1
19300039,Jessy,Jess,5.4
19300040,Elena,Wadell,8.3
19300041,Melina,Corilla,7.7
19300042,Morganica,Garbe,5.7
19300043,Marguerite,Suzetta,4.4
19300044,Jerry,Himelman,3.7
19300045,Flory,Travax,2.9
19300046,Zsa Zsa,Kiersten,8.9
19300047,Amara,Nickola,7.9
19300048,Vere,Bobbee,4.7
19300049,Louella,Adore,8.9
19300050,Jenilee,Kristi,8.3
19300051,Drucie,Olnee,9.5
19300052,Mallory,Hedve,8.7
19300053,Lorenza,Hathaway,5.9
19300054,Donnie,Buckler,4.2
19300055,Bibby,Clara,3.8
19300056,Kellen,Hachmin,7.6
19300057,Rani,Mich,4.4
19300058,Cyndie,Corabella,9.1
19300059,Antonietta,Fink,9.7
19300060,Valeda,Donell,8.8
19300061,Nanete,Annice,2.5
19300062,Karina,Libna,8.4
19300063,Tybie,Bashemeth,8.4
19300064,Millie,Brittani,8.3
19300065,Cindelyn,Helfand,7.7
19300066,Lulita,Crudden,4.2
19300067,Gwyneth,Koziara,8.3
19300068,Dominga,Desai,5.5
19300069,Tatiania,Adamsen,5.8
19300070,Rochette,Hashim,5.4
19300071,Steffane,Weaks,9
19300072,Raf,Rubie,5.1
19300073,Ingrid,Nicoline,8
19300074,Celisse,Burch,2.2
19300075,Valli,Breed,6.9
19300076,Genevra,Dominy,8.9
19300077,Cecile,Elbertina,3.8
19300078,Madalyn,Bebe,5.6
19300079,Fanny,Cyrie,1.9
19300080,Dacia,Amand,9.9
19300081,Feliza,Odell,3.7
19300082,Merry,Ventre,5
19300083,Concettina,Naashom,4.4
19300084,Bernardine,Lacombe,8.4
19300085,Wendi,Roumell,8
19300086,Marleah,Ortrude,4.3
19300087,Constance,McCutcheon,6.8
19300088,Rozele,Mallon,6.6
19300089,Katuscha,Lamoree,2.4
19300090,Veda,Alcott,8
19300091,Augustine,Devlen,8.7
19300092,Molli,Berriman,8.7
19300093,Sara-Ann,Garrison,7.8
19300094,Charmaine,Bollay,7.2
19300095,Evita,Breed,3.3
19300096,Rochette,Pyle,7
19300097,Karlee,Berne,3.4
19300098,Charlena,Eugenia,6.2
19300099,Jsandye,Raseda,1.2
19300100,Ethel,Shields,9.4
19300101,Carolina,Mendez,9.1
19300102,Ebonee,Burkle,8.2
19300103,Nyssa,Cosenza,9.4
19300104,Rochette,Shuler,2.4
19300105,Justinn,Ashok,7.9
19300106,Briney,Tayib,2.2
19300107,Neila,Junie,3.4
19300108,Leona,Graig,2.5
19300109,Justinn,Dulciana,3.1
19300110,Mallory,Florina,4.8
19300111,Keelia,Baudin,1.2
19300112,Marsiella,Kylander,4.5
19300113,Lolita,Pattin,6.1
19300114,Gwyneth,Herrera,4.9
19300115,Maye,Swigart,9.5
19300116,Rosabelle,Slifka,7.5
19300117,Leeanne,Konyn,3.6
19300118,Jerry,Eldrid,6.8
19300119,Marylou,Caitlin,9.7
19300120,Margette,Allys,7.1
19300121,Annora,Haymes,7.2
19300122,Vita,Bari,2.2
19300123,Mildrid,O'Carroll,1.4
19300124,Peri,Mike,4.4
19300125,Frieda,Natica,7.3
19300126,Elise,Agle,9.9
19300127,Antonietta,Ephrem,9.8
19300128,Jessy,O'Rourke,6.4
19300129,Inga,Wu,1.4
19300130,Ada,Cosenza,7.1
19300131,Charmaine,Donoghue,7.1
19300132,Lynnea,Peg,8.2
19300133,Charlena,Cornelia,9.4
19300134,Loree,Torray,6.6
19300135,Kamilah,Lumbard,1.5
19300136,Aryn,Pyle,8
19300137,Farrah,Septima,1.5
19300138,Sophia,Lenny,5.8
19300139,Edyth,Brieta,1.3
19300140,Hyacinthe,Salvidor,9.9
19300141,Bee,Joni,10
19300142,Sherrie,Ciapas,4.1
19300143,Viviene,Maurine,9.3
19300144,Valeda,Nerita,3.4
19300145,Sallie,Reinke,8.2
19300146,Peri,Stevy,6.9
19300147,Tani,Friede,3.8
19300148,Rosaline,Demitria,3.5
19300149,Maryellen,Ferrell,9.7
19300150,Sean,Cassius,9.8
19300151,Fawne,Torray,6.3
19300152,Livvyy,Jethro,9.6
19300153,Wileen,Arvo,4.7
19300154,Ulrike,Tyson,8.7
19300155,Christy,Fancie,5.3
19300156,Jere,Nedrud,3.6
19300157,Beatriz,Brian,9.7
19300158,Felice,Havens,3.5
19300159,Yolane,Willie,8
19300160,Randa,Colbert,6.4
19300161,Candy,Edmund,3.2
19300162,Raina,Cleavland,4.2
19300163,Rani,Stoller,9.7
19300164,Marita,Joachim,11
19300165,Marleah,Firmin,1.1
19300166,Cyndie,Faso,7.6
19300167,Ericka,Morehouse,9.8
19300168,Adore,Wenoa,2.8
19300169,Natka,Roche,9.6
19300170,Sidoney,Yerkovich,8.4
